                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.74606,                 2.2437,                  1.214,                0.00333,                      1,                  0.995,                0.98667,                0.21931,                 2.3457,                0.82531,                 0.0847,                 0.0017,                 0.0017
                      1,                0.40449,                 0.9657,                0.95542,                      1,                0.98586,                  0.995,                0.98206,                 0.2727,                 2.0545,                0.85569,               0.068465,              0.0034654,              0.0034654
                      2,                0.43874,                 0.7207,                0.94286,                      1,                0.99897,                  0.995,                0.98219,                 0.2811,                 1.2184,                0.83333,               0.052195,              0.0051951,              0.0051951
                      3,                 0.4582,                0.64073,                0.95166,                0.94935,                      1,                0.98958,                0.89395,                0.35924,                 1.8654,                0.87451,               0.035889,              0.0068891,              0.0068891
                      4,                0.48972,                0.63996,                0.96086,                0.99607,                      1,                  0.995,                0.89577,                0.43401,                0.85638,                0.92943,               0.019548,              0.0085476,              0.0085476
                      5,                0.51369,                 0.6072,                0.98824,                0.99724,                      1,                  0.995,                0.97643,                0.33909,                 0.6341,                 0.9049,               0.009505,               0.009505,               0.009505
                      6,                0.51319,                0.58799,                0.97988,                0.99725,                      1,                  0.995,                0.97074,                0.32963,                 0.7135,                0.87929,               0.009505,               0.009505,               0.009505
                      7,                0.53972,                0.56139,                0.98072,                0.99742,                      1,                  0.995,                0.97256,                0.30008,                0.54727,                0.86069,               0.009406,               0.009406,               0.009406
                      8,                0.49828,                0.52837,                0.98062,                0.99748,                      1,                  0.995,                0.92332,                0.27171,                0.50829,                0.84079,               0.009307,               0.009307,               0.009307
                      9,                  0.489,                0.50163,                0.97343,                0.99774,                      1,                  0.995,                0.96891,                0.36085,                0.41479,                0.90119,               0.009208,               0.009208,               0.009208
                     10,                0.47075,                0.47399,                0.97195,                0.99767,                      1,                  0.995,                0.98703,                0.22889,                0.35668,                0.80536,               0.009109,               0.009109,               0.009109
                     11,                0.48708,                0.47568,                0.96156,                0.99779,                      1,                  0.995,                0.97704,                0.20961,                0.35182,                0.79545,                0.00901,                0.00901,                0.00901
                     12,                0.48423,                0.45094,                0.96239,                0.99793,                      1,                  0.995,                0.95562,                0.35271,                0.44776,                0.93423,               0.008911,               0.008911,               0.008911
                     13,                0.45197,                0.43765,                0.96191,                0.99798,                      1,                  0.995,                0.97908,                0.19575,                0.39433,                0.79374,               0.008812,               0.008812,               0.008812
                     14,                0.46213,                0.42789,                0.95124,                0.99772,                      1,                  0.995,                0.99063,                0.24344,                0.32586,                0.81982,               0.008713,               0.008713,               0.008713
                     15,                0.44117,                0.41424,                0.94442,                0.99764,                      1,                  0.995,                0.99085,                0.23311,                0.25844,                0.82737,               0.008614,               0.008614,               0.008614
                     16,                0.41893,                0.39197,                0.94232,                0.99768,                      1,                  0.995,                  0.995,                0.25454,                0.30545,                 0.8461,               0.008515,               0.008515,               0.008515
                     17,                 0.4161,                0.38682,                0.93912,                0.99773,                      1,                  0.995,                0.99102,                0.22308,                0.30027,                   0.81,               0.008416,               0.008416,               0.008416
                     18,                0.41373,                0.37222,                0.93514,                0.99777,                      1,                  0.995,                0.99103,                0.16891,                0.27358,                0.79175,               0.008317,               0.008317,               0.008317
                     19,                0.42618,                0.37017,                0.92703,                 0.9978,                      1,                  0.995,                  0.995,                 0.1771,                0.23522,                0.78758,               0.008218,               0.008218,               0.008218
                     20,                 0.4157,                0.36471,                0.93287,                0.99781,                      1,                  0.995,                0.99103,                0.18787,                0.22663,                0.78768,               0.008119,               0.008119,               0.008119
                     21,                0.39809,                0.35405,                0.92973,                0.99765,                      1,                  0.995,                  0.995,                0.23946,                0.28472,                0.80468,                0.00802,                0.00802,                0.00802
                     22,                0.39652,                0.34516,                0.92178,                 0.9959,                      1,                  0.995,                  0.995,                0.19945,                 0.3182,                0.80167,               0.007921,               0.007921,               0.007921
                     23,                0.38829,                 0.3419,                0.90891,                0.99775,                      1,                  0.995,                0.98626,                0.18586,                0.22213,                0.78636,               0.007822,               0.007822,               0.007822
                     24,                0.38958,                0.33945,                0.93467,                0.99758,                      1,                  0.995,                  0.995,                0.21731,                 0.2915,                0.79929,               0.007723,               0.007723,               0.007723
                     25,                0.38119,                0.32303,                0.91697,                0.99773,                      1,                  0.995,                  0.995,                0.19374,                 0.2773,                0.79292,               0.007624,               0.007624,               0.007624
                     26,                0.38521,                0.33263,                0.93238,                0.99766,                      1,                  0.995,                  0.995,                0.21328,                0.24503,                0.79452,               0.007525,               0.007525,               0.007525
                     27,                0.38561,                0.32286,                0.92761,                0.99779,                      1,                  0.995,                0.99087,                0.22112,                0.26464,                0.80895,               0.007426,               0.007426,               0.007426
                     28,                0.37576,                0.31738,                0.92165,                0.99771,                      1,                  0.995,                 0.9909,                0.18978,                0.22058,                0.79001,               0.007327,               0.007327,               0.007327
