                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79441,                 2.1072,                 2.3525,                  1.244,                0.00333,                      1,                  0.995,                0.94085,                0.00333,                      1,                  0.995,                0.98015,                  0.205,                0.40043,                 2.5486,                0.83803,                 0.0847,                 0.0017,                 0.0017
                      1,                0.40284,                0.57921,                 1.0572,                0.95549,                      1,                0.95117,                  0.995,                  0.995,                      1,                0.95117,                  0.995,                  0.995,                 0.2688,                0.18585,                 2.1727,                0.83859,               0.068465,              0.0034654,              0.0034654
                      2,                0.43612,                0.52241,                0.75122,                0.93787,                0.98045,                      1,                  0.995,                0.89699,                0.98045,                      1,                  0.995,                  0.995,                 0.4345,                0.17294,                  1.625,                0.99626,               0.052195,              0.0051951,              0.0051951
                      3,                0.46743,                0.48788,                0.67681,                0.95911,                0.99576,                      1,                  0.995,                0.94799,                0.99576,                      1,                  0.995,                  0.995,                0.46187,                0.17468,                 1.1686,                 1.1218,               0.035889,              0.0068891,              0.0068891
                      4,                0.52123,                0.49782,                0.68251,                0.97895,                 0.9935,                      1,                  0.995,                0.86643,                 0.9935,                      1,                  0.995,                0.96109,                0.59455,                0.25532,                 1.2593,                 1.0978,               0.019548,              0.0085476,              0.0085476
                      5,                0.52359,                 0.4803,                0.65278,                0.98627,                0.99751,                      1,                  0.995,                0.89859,                0.99751,                      1,                  0.995,                  0.995,                0.43637,                0.14893,                0.87751,                0.98315,               0.009505,               0.009505,               0.009505
                      6,                0.52795,                 0.4714,                0.68308,                0.99427,                0.99819,                      1,                  0.995,                 0.8955,                0.99819,                      1,                  0.995,                0.98836,                0.41794,                0.22943,                0.78624,                0.92732,               0.009505,               0.009505,               0.009505
                      7,                0.52738,                0.50184,                0.59525,                0.97141,                0.99721,                      1,                  0.995,                0.89636,                0.99721,                      1,                  0.995,                  0.995,                0.43922,                 0.2038,                0.72495,                 1.1146,               0.009406,               0.009406,               0.009406
                      8,                0.52822,                0.45494,                0.56789,                0.98518,                0.99766,                      1,                  0.995,                0.98003,                0.99766,                      1,                  0.995,                  0.995,                0.28303,                0.14992,                0.47903,                0.84772,               0.009307,               0.009307,               0.009307
                      9,                0.45518,                0.44946,                0.51365,                0.96974,                0.99788,                      1,                  0.995,                0.94977,                0.99788,                      1,                  0.995,                  0.995,                0.33512,                0.15732,                0.48515,                0.90484,               0.009208,               0.009208,               0.009208
                     10,                0.49785,                0.42998,                0.50861,                0.96567,                 0.9978,                      1,                  0.995,                  0.995,                 0.9978,                      1,                  0.995,                  0.995,                0.28541,                0.16415,                0.51609,                0.84124,               0.009109,               0.009109,               0.009109
                     11,                0.47969,                0.41974,                0.49813,                0.95974,                0.99774,                      1,                  0.995,                0.98435,                0.99774,                      1,                  0.995,                  0.995,                0.28355,                 0.2034,                0.47349,                0.87712,                0.00901,                0.00901,                0.00901
                     12,                0.47928,                 0.3936,                0.47183,                0.95999,                0.99779,                      1,                  0.995,                0.97876,                0.99779,                      1,                  0.995,                  0.995,                0.29741,                0.18375,                0.49485,                0.87693,               0.008911,               0.008911,               0.008911
                     13,                0.46088,                0.41577,                 0.4671,                0.95641,                0.99778,                      1,                  0.995,                0.99085,                0.99778,                      1,                  0.995,                  0.995,                0.22213,                0.13359,                0.30401,                0.80014,               0.008812,               0.008812,               0.008812
                     14,                0.45234,                0.43809,                0.44265,                 0.9598,                0.99792,                      1,                  0.995,                0.99102,                0.99792,                      1,                  0.995,                  0.995,                0.20986,                0.16835,                0.34268,                0.79561,               0.008713,               0.008713,               0.008713
                     15,                0.45253,                0.42748,                0.42172,                0.94127,                0.99781,                      1,                  0.995,                0.97622,                0.99781,                      1,                  0.995,                  0.995,                0.27588,                 0.1357,                0.39953,                0.80812,               0.008614,               0.008614,               0.008614
                     16,                  0.436,                0.41404,                0.40716,                0.94177,                0.99776,                      1,                  0.995,                0.98205,                0.99776,                      1,                  0.995,                0.99063,                0.19031,                0.19667,                0.36645,                0.80348,               0.008515,               0.008515,               0.008515
                     17,                0.41447,                0.38563,                0.39922,                0.93569,                0.99756,                      1,                  0.995,                0.98206,                0.99756,                      1,                  0.995,                  0.995,                0.21168,                0.15645,                 0.2634,                0.80035,               0.008416,               0.008416,               0.008416
                     18,                0.42921,                0.40353,                0.38032,                0.94278,                0.99769,                      1,                  0.995,                0.92741,                0.99769,                      1,                  0.995,                  0.995,                0.28063,                0.16207,                0.40935,                0.86545,               0.008317,               0.008317,               0.008317
                     19,                0.42872,                0.38343,                0.37983,                0.92664,                0.99781,                      1,                  0.995,                0.99063,                0.99781,                      1,                  0.995,                  0.995,                0.19545,                0.13317,                0.20869,                 0.7869,               0.008218,               0.008218,               0.008218
                     20,                0.41155,                0.38965,                0.37541,                0.93185,                0.99773,                      1,                  0.995,                0.96745,                0.99773,                      1,                  0.995,                  0.995,                 0.2826,                0.17548,                0.30593,                0.84282,               0.008119,               0.008119,               0.008119
                     21,                0.39081,                0.36771,                0.36605,                0.92811,                0.99765,                      1,                  0.995,                0.98026,                0.99765,                      1,                  0.995,                  0.995,                0.18121,                0.15676,                0.26177,                0.77849,                0.00802,                0.00802,                0.00802
                     22,                0.40588,                0.35539,                0.36855,                0.92268,                0.99755,                      1,                  0.995,                0.97962,                0.99755,                      1,                  0.995,                  0.995,                0.18655,                0.16002,                0.38582,                0.79033,               0.007921,               0.007921,               0.007921
                     23,                0.37752,                0.37777,                0.33958,                 0.9129,                0.99777,                      1,                  0.995,                  0.995,                0.99777,                      1,                  0.995,                  0.995,                0.22918,                0.24711,                0.31115,                0.81208,               0.007822,               0.007822,               0.007822
                     24,                0.38378,                0.38439,                0.34099,                0.92721,                0.99776,                      1,                  0.995,                0.99103,                0.99776,                      1,                  0.995,                  0.995,                0.17254,                0.14327,                0.22504,                0.77747,               0.007723,               0.007723,               0.007723
                     25,                0.37868,                0.35551,                0.33228,                0.91441,                0.99778,                      1,                  0.995,                  0.995,                0.99778,                      1,                  0.995,                  0.995,                 0.2177,                 0.1363,                0.24709,                0.81157,               0.007624,               0.007624,               0.007624
                     26,                0.37618,                0.36852,                0.33561,                0.92851,                0.99771,                      1,                  0.995,                0.98229,                0.99771,                      1,                  0.995,                0.99008,                0.28234,                0.14329,                0.32582,                0.85456,               0.007525,               0.007525,               0.007525
                     27,                0.39021,                0.37311,                0.33421,                0.92282,                0.99779,                      1,                  0.995,                0.98499,                0.99779,                      1,                  0.995,                  0.995,                0.22275,                0.17555,                0.27225,                0.81168,               0.007426,               0.007426,               0.007426
                     28,                0.37638,                  0.347,                0.32693,                0.91884,                0.99777,                      1,                  0.995,                  0.995,                0.99777,                      1,                  0.995,                  0.995,                0.20545,                0.13105,                0.22066,                 0.8041,               0.007327,               0.007327,               0.007327
                     29,                0.34773,                0.33018,                0.31139,                0.91445,                0.99783,                      1,                  0.995,                0.98691,                0.99783,                      1,                  0.995,                  0.995,                0.22903,                 0.1628,                0.29339,                0.80912,               0.007228,               0.007228,               0.007228
                     30,                0.35977,                0.33503,                0.30893,                0.91885,                0.99785,                      1,                  0.995,                  0.995,                0.99785,                      1,                  0.995,                  0.995,                0.18006,                0.14629,                0.21405,                0.77536,               0.007129,               0.007129,               0.007129
                     31,                0.36137,                  0.331,                0.31176,                0.92122,                0.99774,                      1,                  0.995,                  0.995,                0.99774,                      1,                  0.995,                  0.995,                0.17054,                0.14039,                0.17378,                0.77547,                0.00703,                0.00703,                0.00703
