                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.17199,                0.26316,                      1,                0.20582,               0.070882,              0.0032353,              0.0032353
                      1,                0.16932,                0.36842,                      1,                 0.2043,               0.040817,              0.0065036,              0.0065036
                      2,                0.16462,                0.63158,                      1,                0.19809,               0.010686,              0.0097059,              0.0097059
                      3,                0.14292,                0.63158,                      1,                0.17437,               0.009703,               0.009703,               0.009703
                      4,                0.10444,                0.21053,                      1,                0.21106,               0.009703,               0.009703,               0.009703
                      5,                 0.0991,                0.31579,                      1,                0.20391,               0.009604,               0.009604,               0.009604
                      6,                0.09941,                0.10526,                      1,                0.24319,               0.009505,               0.009505,               0.009505
                      7,                0.08652,                0.63158,                      1,                0.17577,               0.009406,               0.009406,               0.009406
                      8,                0.08342,                0.10526,                      1,                0.22538,               0.009307,               0.009307,               0.009307
                      9,                0.09162,                0.31579,                      1,                0.19251,               0.009208,               0.009208,               0.009208
                     10,                 0.0797,                0.73684,                      1,                0.16154,               0.009109,               0.009109,               0.009109
                     11,                0.07617,                0.73684,                      1,                0.15537,                0.00901,                0.00901,                0.00901
                     12,                 0.0635,                0.73684,                      1,                0.15427,               0.008911,               0.008911,               0.008911
                     13,                0.06665,                0.68421,                      1,                0.15743,               0.008812,               0.008812,               0.008812
                     14,                0.06173,                0.73684,                      1,                0.15328,               0.008713,               0.008713,               0.008713
                     15,                0.07596,                0.68421,                      1,                0.16147,               0.008614,               0.008614,               0.008614
                     16,                0.05689,                0.73684,                      1,                0.15132,               0.008515,               0.008515,               0.008515
                     17,                0.06826,                0.73684,                      1,                0.15121,               0.008416,               0.008416,               0.008416
                     18,                0.08965,                0.31579,                      1,                0.20324,               0.008317,               0.008317,               0.008317
                     19,                0.06522,                0.73684,                      1,                0.15412,               0.008218,               0.008218,               0.008218
                     20,                0.07692,                0.73684,                      1,                0.15448,               0.008119,               0.008119,               0.008119
                     21,                0.06468,                0.73684,                      1,                0.15114,                0.00802,                0.00802,                0.00802
                     22,                0.07321,                0.78947,                      1,                0.15172,               0.007921,               0.007921,               0.007921
                     23,                 0.0624,                0.73684,                      1,                0.15099,               0.007822,               0.007822,               0.007822
                     24,                0.05939,                0.63158,                      1,                0.15921,               0.007723,               0.007723,               0.007723
                     25,                0.06091,                0.73684,                      1,                0.15632,               0.007624,               0.007624,               0.007624
                     26,                0.05315,                0.47368,                      1,                0.18868,               0.007525,               0.007525,               0.007525
                     27,                0.05469,                0.73684,                      1,                0.15387,               0.007426,               0.007426,               0.007426
                     28,                0.04885,                0.52632,                      1,                0.17007,               0.007327,               0.007327,               0.007327
                     29,                0.04075,                0.63158,                      1,                0.15662,               0.007228,               0.007228,               0.007228
                     30,                0.04591,                0.52632,                      1,                0.18185,               0.007129,               0.007129,               0.007129
                     31,                0.05456,                0.78947,                      1,                0.14825,                0.00703,                0.00703,                0.00703
                     32,                0.05164,                0.36842,                      1,                0.19779,               0.006931,               0.006931,               0.006931
                     33,                 0.0413,                0.78947,                      1,                0.14502,               0.006832,               0.006832,               0.006832
                     34,                0.03583,                0.73684,                      1,                0.15174,               0.006733,               0.006733,               0.006733
                     35,                0.05124,                0.57895,                      1,                0.17011,               0.006634,               0.006634,               0.006634
                     36,                0.05274,                0.68421,                      1,                0.15644,               0.006535,               0.006535,               0.006535
                     37,                0.04762,                0.78947,                      1,                0.14129,               0.006436,               0.006436,               0.006436
                     38,                0.05135,                0.73684,                      1,                0.14807,               0.006337,               0.006337,               0.006337
                     39,                0.03652,                0.84211,                      1,                0.14179,               0.006238,               0.006238,               0.006238
                     40,                0.04581,                0.73684,                      1,                0.15108,               0.006139,               0.006139,               0.006139
                     41,                0.04196,                0.73684,                      1,                0.14868,                0.00604,                0.00604,                0.00604
                     42,                0.03298,                0.73684,                      1,                0.15041,               0.005941,               0.005941,               0.005941
                     43,                0.03548,                0.78947,                      1,                0.14393,               0.005842,               0.005842,               0.005842
                     44,                0.04081,                0.42105,                      1,                0.18147,               0.005743,               0.005743,               0.005743
                     45,                0.03818,                0.84211,                      1,                0.13155,               0.005644,               0.005644,               0.005644
                     46,                0.04955,                0.73684,                      1,                0.16261,               0.005545,               0.005545,               0.005545
