                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.3642,                 18.558,                 2.0543,                      0,                      0,                      0,                      0,                 5.5734,                 9.9166,                 1.5841,                 0.0901,                 0.0011,                 0.0011
                      1,                 4.8239,                 7.3638,                 1.5264,                      0,                      0,                      0,                      0,                 4.3104,                 5.5965,                 1.2291,               0.079277,              0.0022772,              0.0022772
                      2,                 4.1325,                 5.2068,                 1.2974,                      0,                      0,                      0,                      0,                 3.8226,                  4.967,                 1.2483,               0.068431,              0.0034307,              0.0034307
                      3,                 4.0213,                 4.4019,                 1.2495,                      0,                      0,                      0,                      0,                 3.7153,                 4.7527,                 1.1634,                0.05756,              0.0045604,              0.0045604
                      4,                 3.9858,                 3.8735,                 1.1925,                0.00467,                0.33333,                0.04929,                0.00681,                 3.7847,                 4.1429,                 1.2429,               0.046666,              0.0056664,              0.0056664
                      5,                 4.0982,                 3.6108,                 1.2553,                0.00725,                0.45833,                0.03097,                0.00824,                 3.3099,                 4.0106,                  1.046,               0.035749,              0.0067485,              0.0067485
                      6,                 3.7185,                 3.4758,                 1.1749,                0.00919,                  0.625,                0.09802,                0.02401,                 3.3284,                 3.3378,                 1.0411,               0.024807,               0.007807,               0.007807
                      7,                 3.9276,                 3.3932,                 1.1939,                0.00992,                0.58333,                0.05891,                0.01205,                 3.5471,                 3.6847,                 1.0493,               0.013842,              0.0088416,              0.0088416
                      8,                  4.007,                 3.3431,                 1.1583,                0.00929,                0.66667,                0.13724,                0.02157,                 3.6521,                 3.1865,                  1.113,               0.009208,               0.009208,               0.009208
                      9,                 3.9553,                 3.2632,                 1.1581,                0.26888,                0.29167,                0.24339,                 0.0439,                 3.3531,                 2.2915,                 1.0296,               0.009208,               0.009208,               0.009208
                     10,                  3.815,                   3.04,                 1.1127,                0.03914,                0.08333,                 0.0227,                0.00449,                 4.1842,                  2.562,                 1.1055,               0.009109,               0.009109,               0.009109
                     11,                 3.9523,                 3.2074,                 1.1136,                0.01364,                0.70833,                0.26144,                0.07692,                 3.0601,                 2.4643,                 1.0371,                0.00901,                0.00901,                0.00901
                     12,                  4.065,                 3.1041,                  1.143,                 0.3434,                0.32711,                0.27599,                0.06377,                 3.1358,                 2.2553,                 1.0013,               0.008911,               0.008911,               0.008911
                     13,                 3.8977,                 2.8333,                 1.1442,                0.25193,                0.20833,                0.14659,                0.02848,                 3.3974,                  2.334,                 1.0434,               0.008812,               0.008812,               0.008812
                     14,                 3.7672,                  2.861,                 1.1626,                0.27392,                    0.5,                0.28814,                 0.0491,                 3.3893,                 2.3067,                 1.0696,               0.008713,               0.008713,               0.008713
                     15,                  3.593,                 3.0537,                 1.1087,                0.44773,                0.29167,                0.40247,                0.06709,                 3.2806,                 2.4458,                 1.0128,               0.008614,               0.008614,               0.008614
                     16,                  3.716,                 2.8033,                 1.1361,                0.16637,                0.41667,                0.13486,                0.02915,                 3.5547,                 2.7902,                 1.0566,               0.008515,               0.008515,               0.008515
                     17,                 3.7689,                 2.8025,                 1.1351,                0.34256,                0.58333,                0.28108,                 0.0541,                 3.2307,                  1.985,                 1.0343,               0.008416,               0.008416,               0.008416
                     18,                 3.6699,                 2.5598,                 1.0933,                0.22771,                   0.25,                0.14243,                0.03596,                 3.4594,                   2.09,                 1.0225,               0.008317,               0.008317,               0.008317
                     19,                  3.853,                 2.7622,                 1.1627,                0.37883,                0.43234,                0.29444,                0.06694,                  3.194,                  1.897,                0.98701,               0.008218,               0.008218,               0.008218
                     20,                 3.6521,                 2.5794,                 1.1438,                0.57812,                0.41667,                0.42019,                0.09042,                 2.9741,                 1.9238,                 0.9761,               0.008119,               0.008119,               0.008119
                     21,                 3.6945,                  2.579,                 1.1439,                0.34735,                    0.5,                0.32943,                0.06207,                 3.1842,                 1.7486,                0.99976,                0.00802,                0.00802,                0.00802
                     22,                 3.7229,                 2.5067,                  1.104,                0.20671,                  0.375,                 0.1592,                0.02542,                 3.6492,                  1.818,                  1.062,               0.007921,               0.007921,               0.007921
                     23,                 3.7456,                 2.5489,                 1.1311,                0.27379,                   0.25,                0.25329,                0.04721,                 3.2351,                 2.0106,                 1.0119,               0.007822,               0.007822,               0.007822
                     24,                 3.6188,                 2.4741,                 1.1152,                0.18006,                0.47595,                0.18755,                0.03821,                 3.3644,                 1.8726,                 1.0107,               0.007723,               0.007723,               0.007723
                     25,                 3.4426,                 2.5591,                 1.0917,                0.18934,                  0.625,                0.19383,                0.03377,                 3.3771,                 2.2133,                  1.005,               0.007624,               0.007624,               0.007624
                     26,                 3.4745,                 2.3255,                 1.0616,                0.33798,                0.33333,                0.27169,                0.05133,                 3.4362,                 1.7891,                 1.0058,               0.007525,               0.007525,               0.007525
                     27,                 3.4905,                  2.552,                 1.0944,                0.43965,                  0.375,                0.37132,                0.07307,                 3.2418,                 1.8649,                0.98755,               0.007426,               0.007426,               0.007426
                     28,                 3.6703,                 2.4688,                  1.109,                0.30626,                0.33333,                0.15958,                0.03438,                 3.6452,                 1.8693,                 1.0379,               0.007327,               0.007327,               0.007327
                     29,                 3.5769,                 2.2913,                 1.0998,                0.41458,                  0.375,                 0.3718,                0.08964,                 3.3431,                 1.6891,                 0.9936,               0.007228,               0.007228,               0.007228
                     30,                 3.3908,                 2.2241,                 1.0586,                0.37261,                0.45833,                0.35775,                0.10982,                 2.9328,                 1.6642,                0.98945,               0.007129,               0.007129,               0.007129
                     31,                 3.5463,                 2.3607,                  1.081,                0.42369,                    0.5,                0.36615,                0.10186,                 3.1534,                 1.5925,                0.99225,                0.00703,                0.00703,                0.00703
                     32,                 3.6424,                  2.192,                 1.1201,                0.43812,                0.41667,                0.33181,                0.07691,                 3.2279,                 1.6434,                 1.0137,               0.006931,               0.006931,               0.006931
                     33,                 3.4115,                 2.1897,                 1.0866,                0.45064,                0.34216,                0.28992,                0.05394,                 3.4048,                 1.5931,                  1.029,               0.006832,               0.006832,               0.006832
                     34,                 3.4165,                 2.3847,                 1.0786,                0.77606,                0.72237,                0.69477,                0.15727,                  2.982,                 1.5082,                0.97837,               0.006733,               0.006733,               0.006733
                     35,                 3.3875,                 2.2815,                 1.0691,                0.54444,                0.54167,                0.51929,                0.12579,                 2.8974,                 1.5133,                0.97347,               0.006634,               0.006634,               0.006634
                     36,                   3.32,                 2.1265,                 1.0372,                0.33333,                0.45833,                0.31957,                0.06344,                  3.129,                 1.6026,                 1.0093,               0.006535,               0.006535,               0.006535
                     37,                   3.46,                 2.2936,                 1.0776,                0.49788,                0.49594,                0.39126,                0.07633,                 3.4104,                 1.6657,                 1.0271,               0.006436,               0.006436,               0.006436
                     38,                 3.4157,                 2.2176,                 1.0866,                0.41602,                0.45833,                0.41637,                0.10074,                 3.1475,                   1.59,                0.99361,               0.006337,               0.006337,               0.006337
                     39,                   3.31,                 2.1567,                 1.0729,                0.54913,                    0.5,                0.54125,                0.07766,                 3.1387,                 1.6786,                0.99987,               0.006238,               0.006238,               0.006238
                     40,                 3.3623,                 2.1055,                 1.0722,                0.39061,                0.41667,                0.39214,                0.07567,                 3.1821,                 1.6395,                  1.008,               0.006139,               0.006139,               0.006139
                     41,                 3.4033,                 2.1687,                 1.0789,                0.46225,                0.68078,                0.48612,                0.09695,                 3.0957,                 1.5964,                 1.0142,                0.00604,                0.00604,                0.00604
                     42,                 3.2882,                 2.0491,                 1.0523,                0.35175,                    0.5,                0.35197,                0.07613,                 3.2149,                 1.6338,                 1.0036,               0.005941,               0.005941,               0.005941
                     43,                 3.3188,                 2.0374,                 1.0946,                 0.5022,                0.50458,                0.52468,                0.10865,                 3.1059,                 1.5228,                0.99407,               0.005842,               0.005842,               0.005842
                     44,                 3.3654,                 2.0405,                 1.0636,                0.48453,                0.58333,                0.47507,                0.12458,                 2.9139,                 1.5777,                0.97115,               0.005743,               0.005743,               0.005743
                     45,                 3.4547,                 2.3499,                 1.1028,                0.38603,                0.55035,                0.30369,                0.07653,                 3.1211,                 1.6703,                0.99293,               0.005644,               0.005644,               0.005644
                     46,                 3.3967,                  2.054,                 1.0763,                0.38385,                0.46748,                0.33022,                0.07985,                  3.152,                 1.5635,                 1.0185,               0.005545,               0.005545,               0.005545
                     47,                 3.2987,                 2.1082,                 1.0472,                0.35286,                0.43199,                0.31702,                0.08144,                 3.1413,                 1.5803,                 1.0114,               0.005446,               0.005446,               0.005446
                     48,                 3.5152,                 2.1534,                 1.0581,                0.46845,                  0.625,                0.48952,                0.09721,                 3.0435,                 1.5474,                0.99312,               0.005347,               0.005347,               0.005347
                     49,                 3.4506,                 1.9915,                 1.0742,                0.21727,                0.45833,                 0.1822,                0.04557,                 3.2517,                 1.6849,                 1.0578,               0.005248,               0.005248,               0.005248
                     50,                 3.3745,                 2.0349,                 1.0551,                0.30516,                0.32952,                0.24919,                0.06472,                 3.3034,                 1.6346,                 1.0499,               0.005149,               0.005149,               0.005149
                     51,                 3.4834,                 2.0084,                 1.0087,                 0.2597,                0.41667,                0.30978,                0.07142,                 3.1938,                 1.4646,                 1.0254,                0.00505,                0.00505,                0.00505
                     52,                  3.461,                 2.0118,                 1.0241,                0.27884,                0.43527,                0.26441,                 0.0716,                 3.1737,                 1.5174,                 1.0274,               0.004951,               0.004951,               0.004951
                     53,                 3.3051,                 1.9973,                 1.0384,                0.30121,                0.44922,                0.25131,                0.06189,                 3.2115,                 1.5144,                  1.024,               0.004852,               0.004852,               0.004852
                     54,                 3.2298,                  1.987,                 1.0397,                0.29947,                0.41667,                0.27878,                 0.0904,                 3.2195,                  1.579,                 1.0304,               0.004753,               0.004753,               0.004753
